song_id,Song_name,Artist_name,Artist_id,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,Disc_Number,track_number
41Fflg7qHiVOD6dEPvsCzO,Worth It,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,['0zAsh6hObeNmFgFPrUiFcP'],0.884,0.765,8,-3.865,1,0.0882,0.063,7.04E-06,0.118,0.594,99.987,audio_features,224573,1,4
41Fflg7qHiVOD6dEPvsCzO,Worth It,Kid Ink,6KZDXtSj0SzGOV705nNeh3,['0zAsh6hObeNmFgFPrUiFcP'],0.884,0.765,8,-3.865,1,0.0882,0.063,7.04E-06,0.118,0.594,99.987,audio_features,224573,1,4
6BmfYAMhPcgnJQhvzJf5AQ,Bad Reputation - MTV Unplugged,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,['0AvTcYvLE30zb3qIwxzf3o'],0.262,0.618,11,-7.169,0,0.0437,0.24,3.95E-05,0.953,0.198,149.8,audio_features,311133,1,6
1J0Zt2Sa9J9BRarqXnP5Uz,Legends,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,['4m7BydC6hXAQSnMn6ArAZx'],0.575,0.728,4,-5.846,1,0.032,0.0558,0,0.0909,0.242,112.029,audio_features,243427,1,12
2jQ2Z4SG59JOMNRVB99qx0,All The Shimmering Things,Keeno,6r54QO0889i9vqaeuruUSn,['6v78jeS0Tp6idSstmTWkvT'],0.439,0.855,9,-6.206,1,0.0742,0.00198,0.747,0.382,0.0332,175.018,audio_features,307300,1,1
3yLaeajp3jUl6Xs8MCjxl5,Waking Lions,Pop Evil,1pRaG81GsVtaTBuVSpldt2,['7hda12JcWVJYKnEPFCoRMg'],0.504,0.973,6,-2.887,1,0.185,1.82E-05,0.0427,0.183,0.685,143.067,audio_features,234837,1,1
0irlS9wlldxxki4pNrKGLc,Dentro de Ti,"Franco ""El Gorilla""",2biH2I1TvZlIIIc5W14oIJ,['5cvZ38WEvI8lZiXRmMIQxi'],0.697,0.736,5,-7.53,0,0.0502,0.0557,4.97E-05,0.308,0.434,139.97,audio_features,238341,1,1
0irlS9wlldxxki4pNrKGLc,Dentro de Ti,Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,['5cvZ38WEvI8lZiXRmMIQxi'],0.697,0.736,5,-7.53,0,0.0502,0.0557,4.97E-05,0.308,0.434,139.97,audio_features,238341,1,1
0irlS9wlldxxki4pNrKGLc,Dentro de Ti,Anonimus,62lbdm09j0QUbWB7SqCJvt,['5cvZ38WEvI8lZiXRmMIQxi'],0.697,0.736,5,-7.53,0,0.0502,0.0557,4.97E-05,0.308,0.434,139.97,audio_features,238341,1,1
0irlS9wlldxxki4pNrKGLc,Dentro de Ti,Eloy,0eet2VBconGGtNYJ0CBgHu,['5cvZ38WEvI8lZiXRmMIQxi'],0.697,0.736,5,-7.53,0,0.0502,0.0557,4.97E-05,0.308,0.434,139.97,audio_features,238341,1,1
