4KWTAlx2RvbpseOGMEmROg,R.E.M.,886098,"['album rock', 'alternative rock', 'classic rock', 'dance rock', 'folk christmas', 'indie rock', 'mellow gold', 'modern rock', 'neo mellow', 'new wave', 'permanent wave', 'pop christmas', 'pop rock', 'rock']",4KWTAlx2RvbpseOGMEmROg,"[{'height': 1016, 'url': 'https://i.scdn.co/image/3ef4b92f85f8d7b902dd2b9a31dd112fc61a6708', 'width': 1000}, {'height': 650, 'url': 'https://i.scdn.co/image/3831a666a1fe9b724dc74358364e2df9a0fdf3cf', 'width': 640}, {'height': 203, 'url': 'https://i.scdn.co/image/b6958265f643f03a55cd9e7bcb5caff64284958b', 'width': 200}, {'height': 65, 'url': 'https://i.scdn.co/image/ff798b612f464f776243722cc86bcc70a34a63ae', 'width': 64}]",77,"[['The Lemonheads'], ['Soul Asylum'], ['Gin Blossoms'], ['The Replacements'], ['Manic Street Preachers'], ['Pixies'], ['10,000 Maniacs'], ['James'], ['Echo & the Bunnymen'], ['Pretenders'], ['XTC'], ['The Breeders'], ['Pavement'], ['Toad The Wet Sprocket'], ['Elvis Costello & The Attractions'], ['Dinosaur Jr.'], ['The Verve'], [""Jane's Addiction""], ['Travis'], ['The Smashing Pumpkins']]"
10exVja0key0uqUkk6LJRT,Vance Joy,873809,"['folk-pop', 'indie folk', 'indie pop', 'modern rock', 'neo mellow', 'pop']",10exVja0key0uqUkk6LJRT,"[{'height': 640, 'url': 'https://i.scdn.co/image/7d186c3a80955b82a8cc46fe86bdf305478629e8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/23d0081dc5f325e131056197acad3ea0ca508eee', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6c125db9f5fb806775a1babff78a2fde23bdc367', 'width': 160}]",82,"[['George Ezra'], ['Hozier'], ['Tom Odell'], ['James Bay'], ['Ben Howard'], ['The Lumineers'], ['Passenger'], ['The Head and the Heart'], ['Of Monsters and Men'], ['Blind Pilot'], ['Grizfolk'], ['Mumford & Sons'], ['Foy Vance'], ['James Vincent McMorrow'], ['Benjamin Francis Leftwich'], ['Milky Chance'], ['Boy & Bear'], ['Kodaline'], ['Lord Huron'], ['Lewis Watson']]"
3rWZHrfrsPBxVy692yAIxF,Willow,150620,"['dance pop', 'deep indie r&b', 'escape room', 'indie r&b', 'pop', 'post-teen pop']",3rWZHrfrsPBxVy692yAIxF,"[{'height': 640, 'url': 'https://i.scdn.co/image/ffa1bdfa524bce83cf979f4777e41bfad4f9ec9a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f5d458769457290444c15cc600703bd13b10534d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d3fe28b989a7992cdf459fb5fa690bb6e9b34449', 'width': 160}]",68,"[['Ravyn Lenae'], ['Sky Ferreira'], ['Doja Cat'], ['Chloe x Halle'], ['Kali Uchis'], ['Kelela'], ['Princess Nokia'], ['Syd'], ['Jaden Smith'], ['Kevin Abstract'], ['Steve Lacy'], ['Kilo Kish'], ['LION BABE'], ['FKA twigs'], ['Sevdaliza'], ['The Internet'], ['ABRA'], ['Sabrina Claudio'], ['Solange'], ['Azealia Banks']]"
6cXMpsP9x0SH4kFfMyVezF,Josh Groban,257087,"['adult standards', 'classify', 'operatic pop', 'pop christmas']",6cXMpsP9x0SH4kFfMyVezF,"[{'height': 640, 'url': 'https://i.scdn.co/image/8f9908fa0d8c64562214e7ca5c7de4546b30a9c5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/407c705fcd4ce008c90f1e93f34efcc91728f23c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/2f1bcc4986d5f4f373105345e9265a9d08d73ea8', 'width': 160}]",70,"[['Katherine Jenkins'], ['Jackie Evancho'], ['Susan Boyle'], ['Il Divo'], ['Hayley Westenra'], ['The Tenors'], ['Ernesto Cortazar'], ['Sarah Brightman'], ['Chloe Agnew'], ['Paul Potts'], ['Russell Watson'], ['Collabro'], ['Celtic Thunder'], ['Celtic Woman'], ['Barbra Streisand'], ['Original Broadway Company of Natasha, Pierre and the Great Comet of 1812'], ['William Joseph'], ['Brittain Ashford'], ['Audra McDonald'], ['Grace McLean']]"
3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,278001,"['alternative rock', 'garage rock', 'indie christmas', 'indie rock', 'modern rock']",3M4ThdJR28z9eSMcQHAZ5G,"[{'height': 640, 'url': 'https://i.scdn.co/image/6c3e6cb70056a9d6ce8b8de13b9d2930d266aa5f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/26c3fdb7deaee1d88ce0f67db7cb8db130e80c68', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/423dc60b22970de0d147fac10c7565b71733a867', 'width': 160}]",68,"[['Dirty Pretty Things'], ['Razorlight'], ['Kaiser Chiefs'], ['The Libertines'], ['The Pigeon Detectives'], ['Franz Ferdinand'], ['The Enemy'], ['Babyshambles'], ['Hard-FI'], ['The Subways'], ['We Are Scientists'], ['Maximo Park'], ['The Last Shadow Puppets'], ['The View'], ['The Hoosiers'], ['The Wombats'], ['The Kooks'], ['The Cribs'], ['Kasabian'], ['The Hives']]"
7dOBabd5O4CvKrg4iriHTM,Kid Rock,373941,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'redneck', 'rock']",7dOBabd5O4CvKrg4iriHTM,"[{'height': 640, 'url': 'https://i.scdn.co/image/89f8d2b745e628e73886533744c8df602328874e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/2c800f3eb084ac9ad69eeaf08445654b3edd2357', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/7b0e6d18aee2026112ff3706bb31bf815703bf57', 'width': 160}]",73,"[['Uncle Kracker'], ['Buckcherry'], ['Rehab'], ['Aaron Lewis'], ['Hank Williams, Jr.'], ['The Charlie Daniels Band'], ['Colt Ford'], ['Moonshine Bandits'], ['Jamey Johnson'], ['Travis Tritt'], ['Jackyl'], ['Montgomery Gentry'], ['David Allan Coe'], ['The Cadillac Three'], ['The Lacs'], ['Big Smo'], ['Justin Moore'], ['Josh Thompson'], ['Trace Adkins'], ['Puddle Of Mudd']]"
2gXmjQIxCO8lMnSncluZaU,Cory Asbury,23812,"['anthem worship', 'christian uplift', 'deep ccm', 'worship']",2gXmjQIxCO8lMnSncluZaU,"[{'height': 640, 'url': 'https://i.scdn.co/image/022af3d5b6145c352e7345c73c651a72ba2d0fde', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/23bdea24a4fa02077f65e089270499e2f5555171', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/87199fb53259d270f6e5980f9f04af1afefff56e', 'width': 160}]",59,"[['Matt Gilman'], ['Laura Hackett'], ['Justin Rizzo'], ['Misty Edwards'], ['United Pursuit'], ['Luke Wood'], ['Jon Thurlow'], ['Sean Feucht'], ['John Mark McMillan'], ['Jaye Thomas'], ['David Brymer'], ['Audra Lynn'], ['Jason Upton'], ['Jake Hamilton'], ['Jeremy Riddle'], ['Rick Pino'], ['Jonathan David Helser'], ['Jenn Johnson'], ['Christ For The Nations Music'], ['Jonas Park']]"
2ABBMkcUeM9hdpimo86mo6,Tourist,53476,"['deep australian indie', 'deep indie r&b', 'indie r&b', 'tropical house', 'vapor soul', 'vapor twitch']",2ABBMkcUeM9hdpimo86mo6,"[{'height': 640, 'url': 'https://i.scdn.co/image/054a861ad6f1a50e911947e62ace19029c1e4d50', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d422d9fb25bb212de226382a2b773513f3137026', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/df651b3adb5c45501320b8b6ae60a900839b1ccd', 'width': 160}]",60,"[['Crooked Colours'], ['George Maple'], ['Kllo'], ['Touch Sensitive'], ['Kilter'], ['The Kite String Tangle'], ['Golden Features'], ['Running Touch'], ['Kidnap Kid'], ['George FitzGerald'], ['Set Mo'], ['Panama'], ['Hayden James'], ['Maribou State'], ['Jacques Greene'], ['Northeast Party House'], ['KAASI'], ['Ambassadeurs'], ['Motez'], ['Amtrac']]"
1VrWc8r4AjrR8YfT0vlsc7,Chyno Miranda,20928,['pop reggaeton'],1VrWc8r4AjrR8YfT0vlsc7,"[{'height': 640, 'url': 'https://i.scdn.co/image/d5129c460e0ebf10d671d6ed81ae0bc5a6f9dda4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0e574ffadd17f129347e8a640c9812c17bbdf055', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e29ba0727d84f4da1dca954b6548e81743a20bf7', 'width': 160}]",66,"[['Victor Drija'], ['Nacho'], ['Calle Ciega'], ['Gustavo Elis'], ['Andy Rivera'], ['Valentino'], ['Corina Smith'], ['Victor Muñoz'], ['Servando & Florentino'], ['Feid'], ['Danny Ocean'], ['Vos Veis'], ['La Melodia Perfecta'], ['Guaco'], ['Yordano'], ['Dyland & Lenny'], ['Sanluis'], ['Voz Veis'], ['Jonathan Moly'], ['Sixto Rein']]"
3VLf4DlBTN2ZRwygS3TNti,The Academic,23335,"['alt-indie rock', 'indie anthem-folk']",3VLf4DlBTN2ZRwygS3TNti,"[{'height': 640, 'url': 'https://i.scdn.co/image/e18e5fbbd7d4b2964aea271412cb049cfe9b1dad', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d60269ad45e34166636cfdb37bcb0bcbf94d3836', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/63dfab7f7f8d3ee5e0362673c159104e69687aa7', 'width': 160}]",54,"[['On a Plane'], ['Jokifocu'], ['The Metric System'], ['The Coronas'], ['Scott Chasolen and Katy Pfaffl Duo'], ['Still Inlimbo'], ['Truman Falls'], ['The Strawheads'], ['Roger Nusic'], ['Logan Kendell'], ['Yvel'], ['Danny Dasher'], ['Diego Rojas'], ['L3d'], ['Little Hours'], ['All Tvvins'], ['Travis Singleton'], ['The Night Café'], ['Phospho'], ['The Blizzards']]"
5GDZ6xhBwk7Yja97CFLmV7,Jillian Jacqueline,6112,['contemporary country'],5GDZ6xhBwk7Yja97CFLmV7,"[{'height': 640, 'url': 'https://i.scdn.co/image/29f00e476364323ad50ec88091631b4a063cdd14', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/9b790a2687e04aca7ba29efa6398021093ace720', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/4b7304daeff96b4d99a2359a4ea5477aab204570', 'width': 160}]",59,"[['Bailey Bryan'], ['Walker McGuire'], ['Drew Baldridge'], ['Brooke Eden'], ['Ryan Hurd'], ['Cale Dodds'], ['Seth Ennis'], ['Kalie Shorr'], ['Devin Dawson'], ['Carly Pearce'], ['Alyssa Micaela'], ['Dylan Schneider'], ['Josh Dorr'], ['Kane Brown'], ['Jon Langston'], ['Adam Sanders'], ['David Fanning'], ['Chris Bandi'], ['Clare Dunn'], ['Waterloo Revival']]"
5sEDTHJJyDEWVFx99hGSIb,Mark Mothersbaugh,7402,[],5sEDTHJJyDEWVFx99hGSIb,"[{'height': 908, 'url': 'https://i.scdn.co/image/657105ef327c05a86c87884e67b16705bc8f5f6b', 'width': 1000}, {'height': 581, 'url': 'https://i.scdn.co/image/07e75e6e397923fd52cbdaaee799115d5862081a', 'width': 640}, {'height': 182, 'url': 'https://i.scdn.co/image/edb967fbb360ecda9a477bc5b6b49bf1d3c92276', 'width': 200}, {'height': 58, 'url': 'https://i.scdn.co/image/3bab4c61a6f7aafe94262903cda03a5470d14125', 'width': 64}]",60,"[['Alan Silvestri'], ['John Ottman'], ['Henry Jackman'], ['Brian Tyler'], ['Marco Beltrami'], ['Rupert Gregson-Williams'], ['Tyler Bates'], ['John Paesano'], ['Michael Giacchino'], ['Danny Elfman'], ['Geoff Zanelli'], ['Jerry Martin'], ['Lorne Balfe'], ['Ilan Eshkeri'], ['Steve Jablonsky'], ['James Newton Howard'], ['Blake Neely'], ['John Debney'], ['Christopher Drake'], ['Marc Russo']]"
0QJKELJZZuLAjqLOOixJm5,The Bloody Beetroots,137206,"['alternative dance', 'complextro', 'edm', 'electro house', 'electronic', 'fidget house', 'filter house', 'new rave']",0QJKELJZZuLAjqLOOixJm5,"[{'height': 640, 'url': 'https://i.scdn.co/image/58b708b78fcd15de5c56929f864b083045973764', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b24140fa5a22245c444c5a13e72e9c9e24082443', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a8d7539e718d6aa43b1574e0bb202ee229c7068c', 'width': 160}]",59,"[['Boys Noize'], ['The Toxic Avenger'], ['MSTRKRFT'], ['Busy P'], ['Danger'], ['Digitalism'], ['Fukkk Offf'], ['Vitalic'], ['Mr. Oizo'], ['Crookers'], ['Yuksek'], ['Cyberpunkers'], ['Justice'], ['Goose'], ['Wolfgang Gartner'], ['Proxy'], ['Simian Mobile Disco'], ['SBCR'], ['Kavinsky'], ['Feed Me']]"
4GCMwhffO4BBQZp2eoOapt,Dori Freeman,3430,['new americana'],4GCMwhffO4BBQZp2eoOapt,"[{'height': 1000, 'url': 'https://i.scdn.co/image/7fca8c8dc873ab7c7f60191209431697814b68a5', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/9fc013de9fa93291cb9bcb55da44872c22b564bf', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/bbebed6b1f3b46bbfb8006dcf56ac7cab8f05257', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/5a474fc046643c7d95e2568db200e10c64f617c4', 'width': 64}]",42,"[['Rachel Baiman'], ['Margo Price'], ['Michaela Anne'], ['David Rawlings'], ['Whitney Rose'], ['Rhiannon Giddens'], ['Dave Rawlings Machine'], ['Elizabeth Cook'], ['Jonny Fritz'], ['Aubrie Sellers'], ['Sam Outlaw'], ['Natalie Hemby'], ['Rayland Baxter'], ['Jonah Tolchin'], ['Andrew Combs'], ['Nikki Lane'], ['Lilly Hiatt'], ['Bonnie Bishop'], ['Tyler Childers'], ['Angaleena Presley']]"
4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,205414,"['deep indie r&b', 'indie r&b', 'pop rap', 'r&b', 'rap']",4HzKw8XcD0piJmDrrPRCYk,"[{'height': 640, 'url': 'https://i.scdn.co/image/1ea6780654bb793af2a6befceb82ec86149f8608', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/044a7a800e2432097e6a560904887bba3b0042fb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/10a4fd101d14e5d4deaec1e36e41d802228e6b8a', 'width': 160}]",78,"[['dvsn'], ['Roy Woods'], ['PARTYNEXTDOOR'], ['Ramriddlz'], ['Jhene Aiko'], ['JMSN'], ['H.E.R.'], ['Shy Girls'], ['NAO'], ['TYuS'], ['Kehlani'], ['Daniel Caesar'], ['A.CHAL'], ['Miguel'], ['Bryson Tiller'], ['Kelela'], ['LION BABE'], ['The Internet'], ['JAHKOY'], ['Ella Mai']]"
